sku,price,product_name,product_name_ar
217,52.0,ANTINAL 200 MG 24 CAP,انتينال 200 مجم 24 كبسولة
218,141.0,RIVO 320 MG 200 TAB,ريفو 320 مجم 200 قرص
221,637.0,NOVOMIX 30 100 I.U./ ML 5 FLEXPEN,نوفومكس 30 -5 قلم
222,126.0,ANTOPRAL 40 MG 14 TAB,انتوبرال 40 مجم 14 قرص
224,392.0,CIPRALEX 10 MG 28 TAB,سيبراليكس 10 مجم 28 قرص
225,67.0,PARACETAMOL-PHARCO B 1% I.V. INFUSION 100 ML,باراسيتامول-فاركو بي 1 جم فيال وريد 100 مل
226,1174.0,XARELTO 20 MG 28 TAB,زاريلتو 20 مجم 28 قرص
227,34.0,EZAPRIL-CO 20 TAB,ايزابريل كو 20/12.5 مجم 20 قرص
229,23.0,FLAGYL 500 MG 20 TAB,فلاجيل 500 مجم 20 قرص
230,37.0,BI PROFENID S.R 150 MG 20 TAB,باي بروفينيد 150 مجم 20 قرص
233,142.0,CAL HEPARINE 5000 I.U. 3 AMP,كال-هيبارين 5000 وحدة دولية 3 امبول
234,252.0,STARKOPREX 5 MG 30 TAB,ستاركوبريكس 5 مجم 30 قرص
235,100.0,MOTILIUM 10 MG 40 TAB,موتيليوم 10 مجم 40 قرص
236,148.0,CIPRODIAZOLE 20 TAB,سيبروديازول 500/500مجم 20 قرص
237,50.0,TELFAST 30 MG/5 ML SUSP. 100 ML,تلفاست 30مجم/5مل شراب معلق 100 مل
238,20.0,KETOFAN 50 MG 20 CAP,كيتوفان 50 مجم 20 كبسول
1170,15.0,VIOTIC EAR DROPS 10 ML,فيوتك نقط اذن 10 مل
243,81.0,BI-KETOGESIC 150 MG 30 TAB,باي-كيتوجيسيك 150 مجم 30 قرص
244,205.0,YASMIN 21 TAB,ياسمين 0.03/3مجم 21 قرص
245,44.0,NEVILOB 5 MG 14 TAB,نيفيلوب 5 مجم 14 قرص
246,60.0,NAPIZOLE 40 MG / ML I.V. VIAL,نابيزول 40 مجم فيال
247,116.0,PROTOFIX 40 MG 14 TAB,بروتوفيكس 40 مجم 14 قرص
